城市编号,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
比例,5.42E-05,1.37E-05,1.79E-05,0.00012356,0.000147247,0.000114059,0.000381713,0.000161992,0.000152145,4.32E-05,0.000131991,0.00021137,9.51E-05,0.000135281,0.000134809,9.51E-05,0.000106426,0.000227505,0.000154036,0.000384918,0.000359953,0.000333407,0.000149496,2.22E-05,7.61E-05,0.000116013,0.00012809,7.26E-05,0.000370077,0.000569441,0.00029757,0.003400433,0.00029978,0.004580772,0.000367094,0.000239645,0.001319103,0.000480368,0.00026671,0.000518639,8.65E-05,0.000161983,0.000293272,0.000149445,0.000156588,9.32E-05,0.000154389,6.49E-05,0.00011894,0.000111514,0.000142952,0.000173139,0.000109581,0.001118337,7.71E-05,0.000236082,0.000301243,0.000360845,0.000285927,0.000404718,0.000242697,0.000156287,0.001444698,0.000171938,0.000664995,0.00018719,0.000168519,2.81E-05,0.000194033,0.00028741,0.000145691,0.000454473,0.000708098,4.21E-05,0.000429724,3.21E-05,0.000180737,0.000150548,0.000901524,0.00175325,0.003452632,0.00019555,9.06E-05,0.000285968,0.000271635,0.001195112,0.000720937,0.000607538,0.000776877,0.000405614,0.000929161,0.001541713,4.80E-05,8.36E-05,0.00033703,0.000105843,0.000237558,0.000236597,0.000229744,0.00032299,0.00032344,0.002315596,0.000318826,0.001440698,0.001400168,0.00165107,0.001605542,0.000148814,0.000226582,0.00011951,0.004744752,0.020733087,0.006782419,0.000469233,0.003391414,0.001041439,0.008804149,0.000177744,9.23E-05,4.93E-05,0.000307158,2.02E-05,0.000133662,0.000353738,7.80E-05,9.41E-05,0.000119794,3.63E-05,8.65E-05,5.91E-05,0.000314241,0.000112086,0.000152521,5.16E-05,0.000257656,0.000396374,0.000488711,0.000796427,0.000588942,0.00056182,0.000136516,0.000245251,0.000288245,0.001265398,0.000136297,7.96E-05,0.001059154,0.000107089,0.000101061,0.000129617,3.58E-05,0.000568882,0.00038685,5.07E-05,0.000435854,0.000133314,0.000185005,0.000151042,3.23E-05,0.000111948,0.000109997,6.67E-05,0.000196183,0.000144329,0.000449047,0.000353653,0.000163365,0.000149932,0.000186777,0.000513711,0.001243192,0.000441237,0.000967686,0.000207557,0.000168905,0.000355661,0.000787795,0.000513991,0.000337412,9.40E-05,0.000137493,0.000358152,0.000249991,0.00041926,0.000117262,0.000123424,0.000201429,9.62E-05,0.000349504,0.000157681,0.000237971,0.00023546,0.000585792,0.001114926,0.001164444,0.00032145,0.000151413,0.000356761,0.000121484,0.001310589
得分,0.195250724,0,0.020049006,0.530039877,0.644362742,0.484184513,1.775992818,0.715527994,0.668006517,0.142394851,0.570732552,0.953846592,0.392846968,0.586610316,0.584333382,0.392549776,0.447346383,1.031724204,0.677133276,1.791461433,1.670969963,1.542849862,0.655218657,0.040920275,0.301120427,0.493618741,0.551902986,0.284052251,1.719834971,2.682044958,1.369886488,16.34556186,1.380552474,22.04236055,1.705435089,1.090316402,6.300219327,2.252143807,1.220942159,2.436854467,0.351114086,0.71548665,1.349141399,0.654973977,0.689449935,0.38353745,0.678833464,0.246727762,0.507744399,0.471904564,0.623632934,0.769330201,0.462575187,5.331239546,0.305868801,1.073118267,1.387610022,1.67527422,1.313691899,1.887024077,1.105046998,0.687994665,6.906392005,0.763533318,3.143225073,0.837146642,0.74703328,0.069126885,0.870171554,1.320846507,0.636855513,2.127160739,3.351259902,0.136770932,2.007711708,0.088493953,0.805998467,0.66029778,4.284811749,8.395588936,16.59749863,0.877496287,0.370803162,1.313886267,1.244712226,5.701786652,3.413224574,2.865915697,3.683216868,1.891349117,4.418197644,7.37462542,0.165589712,0.337199654,1.560332634,0.444529595,1.080241664,1.075601816,1.042530429,1.49257276,1.494745364,11.10969717,1.472474544,6.887086886,6.691470801,7.902425373,7.68268907,0.651925998,1.027267851,0.51049452,22.83379064,100,32.66840311,2.198398301,16.30203506,4.960099663,42.42609238,0.791554224,0.379284601,0.171825895,1.416158067,0.031350141,0.578799237,1.640976031,0.310374115,0.387776013,0.51186596,0.108745949,0.351344362,0.219053082,1.450343413,0.474660965,0.669820406,0.182744063,1.177245642,1.846751447,2.292408399,3.777572536,2.776165946,2.645261128,0.592572873,1.117369871,1.324877164,6.041016944,0.591514967,0.318095778,5.045597209,0.450547189,0.421452787,0.559274756,0.106480378,2.679344529,1.800784453,0.17858022,2.037299006,0.577118031,0.826598131,0.662682886,0.089749912,0.473996163,0.464581057,0.255461712,0.88054802,0.630280345,2.100974889,1.640563509,0.72215811,0.657325385,0.835154324,2.413068521,5.933840911,2.063278459,4.604135489,0.935446595,0.748893158,1.650253632,3.73590789,2.414418922,1.562177043,0.387353564,0.597289347,1.662279711,1.14024979,1.957210662,0.499642452,0.529384506,0.905866719,0.398173664,1.620537612,0.694723859,1.082237484,1.070117891,2.760960441,5.31477473,5.553772341,1.485136903,0.664473011,1.655562405,0.520022634,6.259124328
