1,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,1,2,2
2,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,2,4,2
3,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,3,6,2
4,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,4,10,4
5,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,5,18,8
6,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,6,32,14
7,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,7,60,28
8,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,8,114,54
9,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,9,172,58
10,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,10,227,55
11,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,11,241,14
12,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,12,265,24
13,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,13,291,26
14,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,14,340,49
15,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,15,364,24
16,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,16,396,32
17,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,17,421,25
18,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,18,438,17
19,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,19,448,10
20,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,20,464,16
21,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,21,474,10
22,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,22,481,7
23,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,23,490,9
24,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,24,496,6
25,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,25,499,3
26,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,26,502,3
27,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,27,503,1
28,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,28,504,1
29,1,0.1298635,9300000,767.96,28.0,64931.46,10.46296,29,504,0
30,2,0.1495195,24237800,3823.0,31.236305,135305.25,7.881944,1,2,2
31,2,0.1495195,24237800,3823.0,31.236305,135305.25,7.881944,2,9,7
32,2,0.1495195,24237800,3823.0,31.236305,135305.25,7.881944,3,16,7
33,2,0.1495195,24237800,3823.0,31.236305,135305.25,7.881944,4,20,4
34,2,0.1495195,24237800,3823.0,31.236305,135305.25,7.881944,5,33,13
